"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1979"	"1979"	"Bronchopneumonia, organism unspecified"	"485"	4	37980	10.5 (Unreliable)	2.9	27.0	5.3	7.7 (Unreliable)	2.1	19.6	3.8	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1979"	"1979"	"Pneumonia, organism unspecified"	"486"	3	37980	7.9 (Unreliable)	1.6	23.1	4.6	6.9 (Unreliable)	1.4	20.2	4.0	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1979"	"1979"	"Obstructive chronic bronchitis"	"491.2"	1	37980	2.6 (Unreliable)	0.1	14.7	2.6	2.3 (Unreliable)	0.1	13.1	2.3	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1979"	"1979"	"Emphysema"	"492"	7	37980	18.4 (Unreliable)	7.4	38.0	7.0	17.6 (Unreliable)	7.1	36.3	6.9	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1979"	"1979"	"Bronchiectasis"	"494"	1	37980	2.6 (Unreliable)	0.1	14.7	2.6	2.5 (Unreliable)	0.1	14.0	2.5	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1979"	"1979"	"Chronic airway obstruction, not elsewhere classified"	"496"	6	37980	15.8 (Unreliable)	5.8	34.4	6.4	12.5 (Unreliable)	4.6	27.3	5.2	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1979"	"1979"	"Due to inhalation of food or vomitus"	"507.0"	1	37980	2.6 (Unreliable)	0.1	14.7	2.6	3.1 (Unreliable)	0.1	17.1	3.1	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1980"	"1980"	"Pneumonia due to other specified organism"	"483"	1	38395	2.6 (Unreliable)	0.1	14.5	2.6	1.9 (Unreliable)	0.0	10.6	1.9	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1980"	"1980"	"Bronchopneumonia, organism unspecified"	"485"	1	38395	2.6 (Unreliable)	0.1	14.5	2.6	2.9 (Unreliable)	0.1	16.2	2.9	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1980"	"1980"	"Pneumonia, organism unspecified"	"486"	4	38395	10.4 (Unreliable)	2.8	26.7	5.2	10.2 (Unreliable)	2.8	26.2	5.1	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1980"	"1980"	"Emphysema"	"492"	2	38395	5.2 (Unreliable)	0.6	18.8	3.7	4.4 (Unreliable)	0.5	15.7	3.1	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1980"	"1980"	"Chronic airway obstruction, not elsewhere classified"	"496"	8	38395	20.8 (Unreliable)	9.0	41.1	7.4	19.4 (Unreliable)	7.8	40.0	7.1	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1980"	"1980"	"Other diseases of lung"	"518.8"	2	38395	5.2 (Unreliable)	0.6	18.8	3.7	5.3 (Unreliable)	0.6	19.3	3.8	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1981"	"1981"	"Pneumococcal pneumonia [streptococcus pneumoniae pneumonia]"	"481"	1	40736	2.5 (Unreliable)	0.1	13.7	2.5	2.8 (Unreliable)	0.1	15.3	2.8	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1981"	"1981"	"Bronchopneumonia, organism unspecified"	"485"	2	40736	4.9 (Unreliable)	0.6	17.7	3.5	5.1 (Unreliable)	0.6	18.5	3.6	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1981"	"1981"	"Pneumonia, organism unspecified"	"486"	6	40736	14.7 (Unreliable)	5.4	32.1	6.0	17.9 (Unreliable)	6.6	38.9	7.5	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1981"	"1981"	"With other respiratory manifestations"	"487.1"	1	40736	2.5 (Unreliable)	0.1	13.7	2.5	2.8 (Unreliable)	0.1	15.3	2.8	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1981"	"1981"	"Emphysema"	"492"	4	40736	9.8 (Unreliable)	2.7	25.1	4.9	9.4 (Unreliable)	2.6	24.0	4.7	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1981"	"1981"	"Bronchiectasis"	"494"	1	40736	2.5 (Unreliable)	0.1	13.7	2.5	2.8 (Unreliable)	0.1	15.3	2.8	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1981"	"1981"	"Chronic airway obstruction, not elsewhere classified"	"496"	9	40736	22.1 (Unreliable)	10.1	41.9	7.4	21.4 (Unreliable)	9.8	40.6	7.2	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1981"	"1981"	"Due to inhalation of food or vomitus"	"507.0"	1	40736	2.5 (Unreliable)	0.1	13.7	2.5	2.4 (Unreliable)	0.1	13.1	2.4	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1981"	"1981"	"Pulmonary congestion and hypostasis"	"514"	1	40736	2.5 (Unreliable)	0.1	13.7	2.5	2.8 (Unreliable)	0.1	15.3	2.8	0.0%
